System code ,Sytsem name,School name,Zip Code ,    Total population,      Male,      Female,      Median age (years),    Total population,      Hispanic or Latino (of any race),        White alone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some other race alone,        Two or more races,  Total housing units,"CITIZEN, VOTING AGE POPULATION","    Citizen, 18 and over population",      Male,      Female,Population density ,Bachelor's degree or higher,Graduate or professional degree ,Unemployed,Now married,Average Adjusted Gross Income (AGI) 2013,ELA Number Tested,ELA % Beginning Learner,ELA % Developing Learner,ELA % Proficient Learner,ELA % Distinguished Learner,MATH Number Tested,MATH % Beginning Learner,MATH % Developing Learner,MATH % Proficient Learner,MATH % Distinguished Learner,SCI Number Tested,SCI % Beginning Learner,SCI % Developing Learner,SCI % Proficient Learner,SCI % Distinguished Learner,SS Number Tested,SS % Beginning Learner,SS % Developing Learner,SS % Proficient Learner,SS % Distinguished Learner
,Atlanta Public Schools,Morningside APS ,30306,"22,329","11,130","11,199",37.6,"22,329",996,"18,933","1,406",5,609,4,92,284,"12,096",,"17,850","8,698","9,152",2,77.3,39.7,3.3,42.4,146302,133,6.0,17.3,45.1,31.6,138,7.2,22.5,43.5,26.8,138,8.0,13.0,29.7,49.3,132,4.5,15.9,27.3,52.3
,Atlanta Public Schools,Dunbar  APS,30303,"6,279","3,439","2,840",21.7,"6,279",533,"1,762","3,392",9,391,0,0,192,"1,460",,"5,811","3,251","2,560",3,23.8,6,24.4,5.9,34477,74,58.1,33.8,8.1,0.0,73,35.6,52.1,12.3,0.0,73,52.1,41.1,6.8,0.0,74,52.7,43.2,4.1,0.0
,Atlanta Public Schools,Garden Hills APS  ,30305,"22,318","10,424","11,894",37.5,"22,318","1,012","18,339","1,719",29,964,0,11,244,"13,699",,"17,759","8,305","9,454",2,79.1,30.9,3.4,45.4,248867,101,36.6,34.7,23.8,5.0,102,18.6,55.9,23.5,2.0,102,36.3,40.2,18.6,4.9,101,26.7,50.5,12.9,9.9
,Atlanta Public Schools,West Manor APS ,30311,"36,001","15,073","20,928",35.5,"36,001","1,572",365,"33,456",0,168,0,9,431,"16,407",,"25,668","9,683","15,985",2,21.2,9.4,22.8,25.7,30026,57,28.1,33.3,28.1,10.5,59,27.1,40.7,27.1,5.1,59,25.4,44.1,25.4,5.1,57,19.3,42.1,29.8,8.8
,Atlanta Public Schools,Hope APS,30312,"22,078","10,549","11,529",33.0,"22,078","1,034","8,397","11,653",9,558,0,23,404,"12,612",,"17,517","8,310","9,207",3,49.7,19.6,8.9,21.9,47740,56,41.1,28.6,23.2,7.1,56,30.4,41.1,23.2,5.4,56,42.9,41.1,16.1,0.0,56,42.9,48.2,8.9,0.0
,Atlanta Public Schools,Bethune APS,30308,"17,097","9,591","7,506",33.0,"17,097","1,016","8,694","5,383",63,"1,649",0,15,277,"11,866",,"14,326","7,994","6,332",3,65.5,32.1,7.9,25,63818,84,64.3,26.2,9.5,0.0,83,53.0,33.7,13.3,0.0,83,59.0,30.1,10.8,0.0,83,63.9,28.9,6.0,1.2
,Atlanta Public Schools,Beecher Hills APS ,30311,"36,001","15,073","20,928",35.5,"36,001","1,572",365,"33,456",0,168,0,9,431,"16,407",,"25,668","9,683","15,985",2,21.2,9.4,22.8,25.7,30026,63,28.6,33.3,30.2,7.9,63,12.7,42.9,33.3,11.1,63,14.3,50.8,27.0,7.9,63,20.6,47.6,22.2,9.5
,Atlanta Public Schools,Parkside APS,30312,"22,078","10,549","11,529",33.0,"22,078","1,034","8,397","11,653",9,558,0,23,404,"12,612",,"17,517","8,310","9,207",3,49.7,19.6,8.9,21.9,47740,89,43.8,23.6,25.8,6.7,89,23.6,43.8,24.7,7.9,89,32.6,44.9,15.7,6.7,89,36.0,40.4,14.6,9.0
,Atlanta Public Schools,Burgess Peter APS,30316,"31,648","15,292","16,356",36.1,"31,648","1,855","10,823","17,934",51,414,1,100,470,"15,259",,"25,561","12,071","13,490",2,38.4,17.7,10.4,31.3,45776,51,29.4,37.3,31.4,2.0,51,27.5,49.0,23.5,0.0,51,25.5,51.0,21.6,2.0,51,25.5,54.9,17.6,2.0
,Atlanta Public Schools,Boyd APS,30318,"49,728","25,931","23,797",31.0,"49,728","2,734","15,934","27,069",48,"3,083",35,0,825,"25,440",,"37,939","19,479","18,460",1,47.2,19.9,12.4,26.8,56872,71,77.5,18.3,2.8,1.4,70,62.9,34.3,2.9,0.0,70,71.4,25.7,1.4,1.4,70,68.6,25.7,4.3,1.4
,Dawson ,Riverview ,30534,"28,773","14,313","14,460",40.5,"28,773","1,180","26,621",126,54,290,0,35,467,"12,086",,"21,459","10,597","10,862",1,25.8,7.4,10.5,58.3,55881,39,20.5,46.2,28.2,5.1,39,7.7,48.7,33.3,10.3,39,7.7,48.7,28.2,15.4,39,7.7,51.3,28.2,12.8
,Pickens ,Harmony ,30519,"42,904","22,068","20,836",36.1,"42,904","4,607","26,721","7,074",77,"3,155",0,0,"1,270","13,880",,"28,203","14,345","13,858",1,38.2,11.8,6.9,55.7,61473,105,19.0,33.3,37.1,10.5,104,15.4,39.4,34.6,10.6,103,10.7,44.7,31.1,13.6,103,21.4,54.4,20.4,3.9
,Bartow ,Clear Creek ,30121,"22,521","11,208","11,313",33.5,"22,521","1,668","17,146","2,942",7,349,0,0,409,"8,673",,"15,860","7,997","7,863",1,17.8,5.6,8.3,55.1,43261,90,38.9,27.8,24.4,8.9,91,12.1,41.8,40.7,5.5,91,18.7,49.5,22.0,9.9,90,21.1,57.8,16.7,4.4
,Bartow ,Mission Road ,30120,"39,361","18,927","20,434",37.3,"39,361","3,990","29,070","5,229",371,241,0,16,444,"15,344",,"27,122","12,538","14,584",1,21.2,7.1,9.3,49.5,49667,80,23.8,35.0,30.0,11.3,80,11.3,36.3,43.8,8.8,80,21.3,41.3,26.3,11.3,80,20.0,47.5,21.3,11.3
,Cherokee,Holly Springs ,30115,"37,964","18,674","19,290",36.8,"37,964","4,099","31,361","1,244",65,305,0,118,772,"13,324",,"25,544","12,480","13,064",1,37,12.1,5.6,63.6,76671,136,33.8,31.6,28.7,5.9,136,19.9,41.9,31.6,6.6,136,18.4,44.9,25.7,11.0,136,30.9,43.4,19.9,5.9
,Cherokee,Little River ,30188,"57,035","27,648","29,387",36.5,"57,035","5,159","44,770","4,022",35,"1,869",0,190,990,"21,788",,"38,364","18,272","20,092",1,39.7,13.2,6,60.5,63904,240,12.5,28.8,37.5,21.3,240,10.0,43.3,37.5,9.2,240,12.5,44.6,29.2,13.8,240,14.6,42.1,28.3,15.0
,Cherokee,Avery ,30115,"37,964","18,674","19,290",36.8,"37,964","4,099","31,361","1,244",65,305,0,118,772,"13,324",,"25,544","12,480","13,064",1,37,12.1,5.6,63.6,76671,179,21.8,32.4,31.3,14.5,179,10.6,38.5,40.2,10.6,179,15.6,43.6,32.4,8.4,179,22.9,48.6,20.1,8.4
,Forsyth,Cumming ,30040,"61,657","30,897","30,760",36.1,"61,657","7,284","48,176","2,047",49,"3,115",33,38,915,"21,462",,"38,780","19,064","19,716",1,42.1,11.1,5.7,61.3,77881,153,22.2,36.6,24.2,17.0,159,12.6,37.7,37.7,11.9,159,12.6,45.9,26.4,15.1,157,14.6,44.6,28.0,12.7
,Forsyth,Vickery Creek ,30040,"61,657","30,897","30,760",36.1,"61,657","7,284","48,176","2,047",49,"3,115",33,38,915,"21,462",,"38,780","19,064","19,716",1,42.1,11.1,5.7,61.3,77881,215,11.6,27.0,35.8,25.6,215,9.8,27.4,39.5,23.3,215,8.4,34.4,35.3,21.9,215,12.1,39.5,29.8,18.6
,Forsyth,Haw Creek ,30041,"57,584","28,745","28,839",40.1,"57,584","3,885","46,093","1,289",207,"5,027",0,64,"1,019","21,093",,"38,014","18,562","19,452",1,49,16.3,6.6,65.3,98116,181,8.3,21.0,40.3,30.4,181,5.5,18.8,53.0,22.7,181,6.1,26.0,47.5,20.4,180,7.8,32.2,28.9,31.1
,Barrow ,Kennedy ,30680,"40,151","20,187","19,964",34.3,"40,151","3,704","29,123","4,545",27,"1,791",0,19,942,"14,719",,"27,512","13,547","13,965",1,15.4,4.6,11.6,49.5,41710,122,24.6,40.2,25.4,9.8,122,9.8,42.6,36.1,11.5,122,17.2,36.9,32.8,13.1,122,12.3,47.5,23.0,17.2
,Barrow ,Auburn ,30011,"14,600","7,459","7,141",35.9,"14,600","1,441","10,417","1,986",16,556,0,25,159,"5,203",,"10,378","5,266","5,112",1,20.4,6.7,9,56.1,45116,133,36.8,30.8,27.8,4.5,133,29.3,41.4,27.1,2.3,133,29.3,47.4,18.8,4.5,133,35.3,36.1,21.1,7.5
,Barrow ,White ,30518,"48,445","23,858","24,587",35.6,"48,445","9,961","28,594","5,292",37,"2,969",0,102,"1,490","17,442",,"29,709","14,138","15,571",1,31.8,10.5,8.1,54.6,58110,88,35.2,34.1,23.9,6.8,88,29.5,43.2,25.0,2.3,88,28.4,39.8,23.9,8.0,88,29.5,48.9,18.2,3.4
,Gwinnett,Berkeley  Lake,30096,"69,237","32,085","37,152",33.4,"69,237","14,178","21,845","18,017",121,"12,999",19,129,"1,929","26,814",,"40,013","17,661","22,352",2,35.6,10.9,9.6,45.4,46856,199,26.6,29.1,29.1,15.1,202,19.8,40.6,31.2,8.4,202,21.8,39.1,23.8,15.3,198,26.3,38.9,23.7,11.1
,Gwinnett,Meadowcreek ,30093,"56,052","28,932","27,120",29.2,"56,052","27,036","6,292","15,112",78,"6,042",10,490,992,"20,472",,"22,133","10,237","11,896",2,16.2,4.4,10,42.3,25117,163,33.7,36.2,23.3,6.7,169,25.4,43.2,30.2,1.2,169,26.6,45.0,20.7,7.7,164,25.0,64.0,10.4,0.6
,Gwinnett,Beaver Ridge ,30071,"24,286","12,413","11,873",30.1,"24,286","11,792","4,954","4,613",51,"2,393",0,111,372,"7,872",,"9,892","4,947","4,945",1,21.1,7.1,8.3,50.5,36402,219,39.3,32.9,21.0,6.8,221,25.3,48.4,23.5,2.7,221,29.0,44.3,22.6,4.1,220,23.6,50.5,17.7,8.2
